10	12,15686275	0,225842559
30	12,15686275	0,225842559
100	12,15686275	0,225842559
300	12,15686275	0,225842559
900	12,25490196	0,227513101
1000	12,25490196	0,227513101
3000	11,56862745	0,214693536
6000	9,588235294	0,1780199
7000	8,843137255	0,164197531
8000	8,107843137	0,150542251
9000	7,401960784	0,137614251
10000	6,705882353	0,124626637
15000	4,274509804	0,079412805
30000	1,450980392	0,026976643
100000	0,13592233	0,002537593
300000	0,013203883	0,000811379
1000000	0,001538462	0,000769716
